file_style_id,file,origin_tool,ifc_schema,style_code,handing,shape,operation_guess,panel_config_guess,classification_confidence,classification_basis,classification_evidence,golden_target_verdict,bakedness_class,parametric_integrity_score,geometry,has_lining_props,has_panel_props,source_style_name,window_count,source,source_url,provenance_note,license_note
F177,ISSUE_098_R8_F1_MAB_AR_M3_XX_XXX_MO_7000.ifc,Autodesk Revit 2022 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='0ar_fin_fi000 - 2a:0ar_fin_fi0' part=SINGLE_PANEL panel_ops=-,needs_style_review,SEMI_PARAMETRIC,77,parametric_swept,True,False,0AR_FIN_FI000 - 2A:0AR_FIN_FI004_220x250 cm,14,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2022 (ENG); open test fixture,open fixture; verify per-file author/license
F178,ISSUE_098_R8_F1_MAB_AR_M3_XX_XXX_MO_7000.ifc,Autodesk Revit 2022 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='0ar_fin_fi000 - 2a:0ar_fin_fi0' part=SINGLE_PANEL panel_ops=-,needs_style_review,SEMI_PARAMETRIC,77,parametric_swept,True,False,0AR_FIN_FI000 - 2A:0AR_FIN_FI003_160x250 cm,89,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2022 (ENG); open test fixture,open fixture; verify per-file author/license
F179,ISSUE_098_R8_F1_MAB_AR_M3_XX_XXX_MO_7000.ifc,Autodesk Revit 2022 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='0ar_fin_fi000 - 2a:0ar_fin_fi0' part=SINGLE_PANEL panel_ops=-,needs_style_review,SEMI_PARAMETRIC,77,parametric_swept,True,False,0AR_FIN_FI000 - 2A:0AR_FIN_FI004_220x250 cm,121,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2022 (ENG); open test fixture,open fixture; verify per-file author/license
F180,ISSUE_098_R8_F1_MAB_AR_M3_XX_XXX_MO_7000.ifc,Autodesk Revit 2022 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='0ar_fin_fi000 - 1a:0ar_fin_fi0' part=SINGLE_PANEL panel_ops=-,needs_style_review,SEMI_PARAMETRIC,77,parametric_swept,True,False,0AR_FIN_FI000 - 1A:0AR_FIN_FI001 - 80x250 cm,165,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2022 (ENG); open test fixture,open fixture; verify per-file author/license
F181,ISSUE_098_R8_F1_MAB_AR_M3_XX_XXX_MO_7000.ifc,Autodesk Revit 2022 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='0ar_fin_fi000 - 2a:0ar_fin_fi0' part=SINGLE_PANEL panel_ops=-,needs_style_review,SEMI_PARAMETRIC,77,parametric_swept,True,False,0AR_FIN_FI000 - 2A:0AR_FIN_FI005_120x250 cm,207,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2022 (ENG); open test fixture,open fixture; verify per-file author/license
F182,ISSUE_098_R8_F1_MAB_AR_M3_XX_XXX_MO_7000.ifc,Autodesk Revit 2022 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='0ar_fin_fi000 - 2a:0ar_fin_fi0' part=SINGLE_PANEL panel_ops=-,needs_style_review,SEMI_PARAMETRIC,77,parametric_swept,True,False,0AR_FIN_FI000 - 2A:0AR_FIN_FI004_220x250 cm,52,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2022 (ENG); open test fixture,open fixture; verify per-file author/license
F183,ISSUE_098_R8_F1_MAB_AR_M3_XX_XXX_MO_7000.ifc,Autodesk Revit 2022 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='0ar_fin_fi000 - 2a:0ar_fin_fi0' part=SINGLE_PANEL panel_ops=-,needs_style_review,SEMI_PARAMETRIC,77,parametric_swept,True,False,0AR_FIN_FI000 - 2A:0AR_FIN_FI005_120x250 cm,98,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2022 (ENG); open test fixture,open fixture; verify per-file author/license
F184,ISSUE_098_R8_F1_MAB_AR_M3_XX_XXX_MO_7000.ifc,Autodesk Revit 2022 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='0ar_fin_fi000 - 2a:0ar_fin_fi0' part=SINGLE_PANEL panel_ops=-,needs_style_review,SEMI_PARAMETRIC,77,parametric_swept,True,False,0AR_FIN_FI000 - 2A:0AR_FIN_FI003_160x250 cm,39,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2022 (ENG); open test fixture,open fixture; verify per-file author/license
F185,ISSUE_098_R8_F1_MAB_AR_M3_XX_XXX_MO_7000.ifc,Autodesk Revit 2022 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='0ar_fin_fi000 - 1a:0ar_fin_fi0' part=SINGLE_PANEL panel_ops=-,needs_style_review,SEMI_PARAMETRIC,77,parametric_swept,True,False,0AR_FIN_FI000 - 1A:0AR_FIN_FI002 - 80x140 cm,33,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2022 (ENG); open test fixture,open fixture; verify per-file author/license
F186,ISSUE_098_R8_F1_MAB_AR_M3_XX_XXX_MO_7000.ifc,Autodesk Revit 2022 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='0ar_fin_fi000 - 1a:0ar_fin_fi0' part=SINGLE_PANEL panel_ops=-,needs_style_review,SEMI_PARAMETRIC,77,parametric_swept,True,False,0AR_FIN_FI000 - 1A:0AR_FIN_FI001 - 80x250 cm,75,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2022 (ENG); open test fixture,open fixture; verify per-file author/license
